"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=RW_Semaphore"
"main", "5", "RW_Semaphore.java:10", "Method Call", " caller=SYSTEM, target=RW_Semaphore#main:1"
"main", "6", "RW_Semaphore.java:8", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "RW_Semaphore.java:8", "New Object", " object=java.lang.String[]:1"
"main", "9", "RW_Semaphore.java:8", "Variable Write", " context=RW_Semaphore#main:1, args=java.lang.String[]:1"
"main", "10", "RW_Semaphore.java:10", "Line Step", " file=RW_Semaphore.java, line=10"
"main", "11", "SYSTEM", "Type Load", " class=Database"
"main", "12", "RW_Semaphore.java:10", "New Object", " object=Database:1"
"main", "13", "RW_Semaphore.java:10", "Method Call", " caller=RW_Semaphore#main:1, target=Database:1#Database:1"
"main", "14", "RW_Semaphore.java:79", "Method Entered", " "
"main", "15", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"main", "16", "RW_Semaphore.java:79", "Line Step", " file=RW_Semaphore.java, line=79"
"main", "17", "RW_Semaphore.java:79", "Field Write", " context=Database:1, data=0"
"main", "18", "RW_Semaphore.java:80", "Line Step", " file=RW_Semaphore.java, line=80"
"main", "19", "RW_Semaphore.java:80", "Field Write", " context=Database:1, r=0"
"main", "20", "RW_Semaphore.java:81", "Line Step", " file=RW_Semaphore.java, line=81"
"main", "21", "RW_Semaphore.java:81", "Field Write", " context=Database:1, w=0"
"main", "22", "RW_Semaphore.java:82", "Line Step", " file=RW_Semaphore.java, line=82"
"main", "23", "RW_Semaphore.java:82", "Field Write", " context=Database:1, ww=0"
"main", "24", "RW_Semaphore.java:83", "Line Step", " file=RW_Semaphore.java, line=83"
"main", "25", "RW_Semaphore.java:83", "Field Write", " context=Database:1, wr=0"
"main", "26", "RW_Semaphore.java:84", "Line Step", " file=RW_Semaphore.java, line=84"
"main", "27", "RW_Semaphore.java:84", "Field Write", " context=Database:1, s1=java.util.concurrent.Semaphore (id=347)"
"main", "28", "RW_Semaphore.java:85", "Line Step", " file=RW_Semaphore.java, line=85"
"main", "29", "RW_Semaphore.java:85", "Field Write", " context=Database:1, s2=java.util.concurrent.Semaphore (id=349)"
"main", "30", "RW_Semaphore.java:86", "Line Step", " file=RW_Semaphore.java, line=86"
"main", "31", "RW_Semaphore.java:86", "Field Write", " context=Database:1, s3=java.util.concurrent.Semaphore (id=350)"
"main", "32", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"main", "33", "RW_Semaphore.java:78", "Method Exit", " returner=Database:1#Database:1, value=<void>"
"main", "34", "RW_Semaphore.java:10", "Method Returned", " "
"main", "35", "RW_Semaphore.java:10", "Line Step", " file=RW_Semaphore.java, line=10"
"main", "36", "RW_Semaphore.java:10", "Variable Write", " context=RW_Semaphore#main:1, d=Database:1"
"main", "37", "RW_Semaphore.java:12", "Line Step", " file=RW_Semaphore.java, line=12"
"main", "38", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "39", "SYSTEM", "Type Load", " class=Writer"
"main", "40", "RW_Semaphore.java:12", "New Object", " object=Writer:1"
"main", "41", "RW_Semaphore.java:12", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:1#Writer:1"
"main", "42", "RW_Semaphore.java:60", "Method Entered", " "
"main", "43", "RW_Semaphore.java:60", "Variable Write", " context=Writer:1#Writer:1, d=Database:1"
"main", "44", "RW_Semaphore.java:60", "Variable Write", " context=Writer:1#Writer:1, x=1"
"main", "45", "RW_Semaphore.java:60", "Line Step", " file=RW_Semaphore.java, line=60"
"main", "46", "RW_Semaphore.java:61", "Line Step", " file=RW_Semaphore.java, line=61"
"main", "47", "RW_Semaphore.java:61", "Field Write", " context=Writer:1, d=Database:1"
"main", "48", "RW_Semaphore.java:62", "Line Step", " file=RW_Semaphore.java, line=62"
"main", "49", "RW_Semaphore.java:62", "Field Write", " context=Writer:1, x=1"
"main", "50", "RW_Semaphore.java:63", "Line Step", " file=RW_Semaphore.java, line=63"
"main", "51", "RW_Semaphore.java:63", "Method Exit", " returner=Writer:1#Writer:1, value=<void>"
"main", "52", "RW_Semaphore.java:12", "Method Returned", " "
"main", "53", "RW_Semaphore.java:12", "Line Step", " file=RW_Semaphore.java, line=12"
"main", "54", "RW_Semaphore.java:12", "Variable Write", " context=RW_Semaphore#main:1, w1=Writer:1"
"main", "55", "RW_Semaphore.java:13", "Line Step", " file=RW_Semaphore.java, line=13"
"main", "56", "RW_Semaphore.java:13", "New Object", " object=Writer:2"
"main", "57", "RW_Semaphore.java:13", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:2#Writer:2"
"main", "58", "RW_Semaphore.java:60", "Method Entered", " "
"main", "59", "RW_Semaphore.java:60", "Variable Write", " context=Writer:2#Writer:2, d=Database:1"
"main", "60", "RW_Semaphore.java:60", "Variable Write", " context=Writer:2#Writer:2, x=10"
"main", "61", "RW_Semaphore.java:60", "Line Step", " file=RW_Semaphore.java, line=60"
"main", "62", "RW_Semaphore.java:61", "Line Step", " file=RW_Semaphore.java, line=61"
"main", "63", "RW_Semaphore.java:61", "Field Write", " context=Writer:2, d=Database:1"
"main", "64", "RW_Semaphore.java:62", "Line Step", " file=RW_Semaphore.java, line=62"
"main", "65", "RW_Semaphore.java:62", "Field Write", " context=Writer:2, x=10"
"main", "66", "RW_Semaphore.java:63", "Line Step", " file=RW_Semaphore.java, line=63"
"main", "67", "RW_Semaphore.java:63", "Method Exit", " returner=Writer:2#Writer:2, value=<void>"
"main", "68", "RW_Semaphore.java:13", "Method Returned", " "
"main", "69", "RW_Semaphore.java:13", "Line Step", " file=RW_Semaphore.java, line=13"
"main", "70", "RW_Semaphore.java:13", "Variable Write", " context=RW_Semaphore#main:1, w2=Writer:2"
"main", "71", "RW_Semaphore.java:14", "Line Step", " file=RW_Semaphore.java, line=14"
"main", "72", "RW_Semaphore.java:14", "New Object", " object=Writer:3"
"main", "73", "RW_Semaphore.java:14", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:3#Writer:3"
"main", "74", "RW_Semaphore.java:60", "Method Entered", " "
"main", "75", "RW_Semaphore.java:60", "Variable Write", " context=Writer:3#Writer:3, d=Database:1"
"main", "76", "RW_Semaphore.java:60", "Variable Write", " context=Writer:3#Writer:3, x=100"
"main", "77", "RW_Semaphore.java:60", "Line Step", " file=RW_Semaphore.java, line=60"
"main", "78", "RW_Semaphore.java:61", "Line Step", " file=RW_Semaphore.java, line=61"
"main", "79", "RW_Semaphore.java:61", "Field Write", " context=Writer:3, d=Database:1"
"main", "80", "RW_Semaphore.java:62", "Line Step", " file=RW_Semaphore.java, line=62"
"main", "81", "RW_Semaphore.java:62", "Field Write", " context=Writer:3, x=100"
"main", "82", "RW_Semaphore.java:63", "Line Step", " file=RW_Semaphore.java, line=63"
"main", "83", "RW_Semaphore.java:63", "Method Exit", " returner=Writer:3#Writer:3, value=<void>"
"main", "84", "RW_Semaphore.java:14", "Method Returned", " "
"main", "85", "RW_Semaphore.java:14", "Line Step", " file=RW_Semaphore.java, line=14"
"main", "86", "RW_Semaphore.java:14", "Variable Write", " context=RW_Semaphore#main:1, w3=Writer:3"
"main", "87", "RW_Semaphore.java:15", "Line Step", " file=RW_Semaphore.java, line=15"
"main", "88", "RW_Semaphore.java:15", "New Object", " object=Writer:4"
"main", "89", "RW_Semaphore.java:15", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:4#Writer:4"
"main", "90", "RW_Semaphore.java:60", "Method Entered", " "
"main", "91", "RW_Semaphore.java:60", "Variable Write", " context=Writer:4#Writer:4, d=Database:1"
"main", "92", "RW_Semaphore.java:60", "Variable Write", " context=Writer:4#Writer:4, x=1000"
"main", "93", "RW_Semaphore.java:60", "Line Step", " file=RW_Semaphore.java, line=60"
"main", "94", "RW_Semaphore.java:61", "Line Step", " file=RW_Semaphore.java, line=61"
"main", "95", "RW_Semaphore.java:61", "Field Write", " context=Writer:4, d=Database:1"
"main", "96", "RW_Semaphore.java:62", "Line Step", " file=RW_Semaphore.java, line=62"
"main", "97", "RW_Semaphore.java:62", "Field Write", " context=Writer:4, x=1000"
"main", "98", "RW_Semaphore.java:63", "Line Step", " file=RW_Semaphore.java, line=63"
"main", "99", "RW_Semaphore.java:63", "Method Exit", " returner=Writer:4#Writer:4, value=<void>"
"main", "100", "RW_Semaphore.java:15", "Method Returned", " "
"main", "101", "RW_Semaphore.java:15", "Line Step", " file=RW_Semaphore.java, line=15"
"main", "102", "RW_Semaphore.java:15", "Variable Write", " context=RW_Semaphore#main:1, w4=Writer:4"
"main", "103", "RW_Semaphore.java:16", "Line Step", " file=RW_Semaphore.java, line=16"
"main", "104", "RW_Semaphore.java:16", "New Object", " object=Writer:5"
"main", "105", "RW_Semaphore.java:16", "Method Call", " caller=RW_Semaphore#main:1, target=Writer:5#Writer:5"
"main", "106", "RW_Semaphore.java:60", "Method Entered", " "
